no,dates,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13
274,2010-05-17,ts_kal,work,54,48,44,39,39,52,94,86,77,65,53,-999,-999
275,2010-05-18,ts_kal,home,60,49,31,18,11,10,10,9,19,17,22,27,29
276,2010-05-18,ts_kal,work,9,7,14,57,52,7,11,7,9,9,12,-999,-999
277,2010-05-19,ts_kal,home,27,9,14,24,31,25,28,37,133,155,159,140,132
278,2010-05-19,ts_kal,work,55,64,73,67,76,79,104,124,108,129,122,-999,-999
279,2010-05-20,ts_kal,home,99,118,111,115,140,145,136,119,181,178,197,181,176
280,2010-05-20,ts_kal,work,132,147,152,182,174,158,153,161,155,171,183,-999,-999
281,2010-05-21,ts_kal,home,180,174,204,184,163,147,148,172,155,172,183,162,152
282,2010-05-21,ts_kal,work,181,149,137,133,140,150,189,147,111,141,157,-999,-999
283,2010-05-22,ts_kal,home,165,156,158,181,150,145,114,137,55,40,58,39,36
284,2010-05-22,ts_kal,work,117,98,134,133,118,172,204,206,54,131,113,-999,-999
285,2010-05-23,ts_kal,home,21,22,16,17,7,8,3,5,18,15,14,10,12
286,2010-05-23,ts_kal,work,2,5,2,7,7,13,15,11,11,9,10,-999,-999
287,2010-05-24,ts_kal,home,5,12,2,6,2,2,3,2,20,36,92,81,63
288,2010-05-24,ts_kal,work,6,8,12,10,8,4,8,7,12,9,11,-999,-999
289,2010-05-25,ts_kal,home,54,46,35,44,52,45,42,49,46,69,102,88,69
290,2010-05-25,ts_kal,work,40,32,45,59,49,58,61,80,64,42,29,-999,-999
291,2010-05-26,ts_kal,home,59,60,55,42,7,1,41,2,17,7,18,8,10
292,2010-05-26,ts_kal,work,4,10,6,13,13,7,7,9,10,12,10,-999,-999
293,2010-05-27,ts_kal,home,7,10,2,8,5,6,8,6,34,21,27,45,33
294,2010-05-27,ts_kal,work,11,15,19,66,64,18,29,28,31,42,34,-999,-999
295,2010-05-28,ts_kal,home,42,35,40,43,50,46,45,46,59,75,70,51,48
296,2010-05-28,ts_kal,work,41,33,32,40,74,61,61,69,48,29,46,-999,-999
297,2010-05-29,ts_kal,home,50,40,23,27,22,23,32,23,50,47,53,55,31
298,2010-05-29,ts_kal,work,32,30,32,26,36,33,35,62,44,48,45,-999,-999
299,2010-05-30,ts_kal,home,24,25,25,25,30,26,22,16,51,34,49,45,41
300,2010-05-30,ts_kal,work,20,12,23,23,26,30,30,62,56,51,51,-999,-999
301,2010-05-31,ts_kal,home,31,34,46,47,40,40,19,18,36,33,43,41,41
302,2010-05-31,ts_kal,work,10,12,21,18,22,24,38,34,30,36,39,-999,-999
303,2010-06-01,ts_kal,home,50,43,9,11,9,22,18,14,65,78,63,47,54
304,2010-06-01,ts_kal,work,14,19,16,29,17,16,18,19,22,74,56,-999,-999
305,2010-06-02,ts_kal,home,57,53,51,43,44,42,40,50,70,65,78,74,70
306,2010-06-02,ts_kal,work,44,30,28,26,31,34,33,56,63,71,76,-999,-999
307,2010-06-03,ts_kal,home,79,71,64,63,53,56,54,48,46,49,47,39,38
308,2010-06-03,ts_kal,work,54,52,25,23,24,28,61,68,50,47,47,-999,-999
309,2010-06-04,ts_kal,home,47,44,51,54,54,47,46,49,45,58,43,42,50
310,2010-06-04,ts_kal,work,60,37,44,38,45,36,33,46,40,30,35,-999,-999
311,2010-06-05,ts_kal,home,45,51,41,48,47,48,51,58,56,45,55,55,54
312,2010-06-05,ts_kal,work,49,63,47,34,30,28,36,55,51,59,43,-999,-999
313,2010-06-06,ts_kal,home,65,67,53,56,53,53,46,57,30,28,26,32,27
